canonical_record_id,primary_manifestation_id,title,year,source_channels,doi,pmid,openalex_id,official_document_number,member_manifestation_count,member_manifestation_ids,duplicate_status,duplicate_basis,preferred_version_reason,screening_status,provenance_status
CANON-00016,OPENALEX:W7133407978,IP Frameworks and Innovation in the Agricultural Sector in Southeast Asia - A Legal Perspective,2024,OPENALEX,NOT_REPORTED,NOT_APPLICABLE,W7133407978,NOT_APPLICABLE,1,OPENALEX:W7133407978,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00017,OPENALEX:W7133592185,Predictive modeling of direct medical costs among frail older adults with diabetes mellitus in a rural outpatient setting,2026,OPENALEX,NOT_REPORTED,NOT_APPLICABLE,W7133592185,NOT_APPLICABLE,1,OPENALEX:W7133592185,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00018,OPENALEX:W7163777289,Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification,2026,OPENALEX,NOT_REPORTED,NOT_APPLICABLE,W7163777289,NOT_APPLICABLE,1,OPENALEX:W7163777289,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00019,OPENALEX:W7165285162,A Comparison of Machine Learning Methods for Alzheimer's Disease Classification in Vietnamese Patients,2025,OPENALEX,NOT_REPORTED,NOT_APPLICABLE,W7165285162,NOT_APPLICABLE,1,OPENALEX:W7165285162,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00020,PMID:35062809,The Impact of Cultural Dimensions of Clinicians on the Adoption of Artificial Intelligence in Healthcare.,2022,OPENALEX | PUBMED,NOT_REPORTED,35062809,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W4207093336 | PMID:35062809,DUPLICATE_ALIAS,PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00021,PMID:40960827,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions.,2025,OPENALEX | PUBMED,10.1001/jamanetworkopen.2025.32312,40960827,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W4414280387 | PMID:40960827,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00022,OPENALEX:W4412117279,Perspectives on year 1 of <i>Alzheimer's &amp; Dementia: Behavior and Socioeconomics of Aging (BSEA)</i>,2025,OPENALEX,10.1002/bsa3.70026,NOT_APPLICABLE,W4412117279,NOT_APPLICABLE,1,OPENALEX:W4412117279,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00023,OPENALEX:W2979564905,PROTOCOL: Megamap of systematic reviews and evidence and gap maps on the effectiveness of interventions to improve child well‐being in low‐ and middle‐income countries,2019,OPENALEX,10.1002/cl2.1057,37016600,W2979564905,NOT_APPLICABLE,1,OPENALEX:W2979564905,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00024,PMID:39165074,A simple nomogram to predict dengue shock syndrome: A study of 4522 south east Asian children.,2024,OPENALEX | PUBMED,10.1002/jmv.29874,39165074,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W4401717407 | PMID:39165074,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00025,OPENALEX:W3115853236,2020 Global Pediatric Pulmonology Alliance (GPPA) Forum on COVID‐19,2020,OPENALEX,10.1002/ped4.12229,33376948,W3115853236,NOT_APPLICABLE,1,OPENALEX:W3115853236,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00026,OPENALEX:W7116755653,A New Face of <i>Respirology</i> : Keeping Up With the Rich Tradition While Embracing New Developments,2025,OPENALEX,10.1002/resp.70188,41423349,W7116755653,NOT_APPLICABLE,1,OPENALEX:W7116755653,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00027,OPENALEX:W4392706664,Research activities at Hanoi National University of Education ‐ 70 years of development,2022,OPENALEX,10.1002/vjch.202200133,NOT_APPLICABLE,W4392706664,NOT_APPLICABLE,1,OPENALEX:W4392706664,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00028,OPENALEX:W4205979214,Patient Classification Based on Symptoms Using Machine Learning Algorithms Supporting Hospital Admission,2021,OPENALEX,10.1007/978-3-030-92942-8_4,NOT_APPLICABLE,W4205979214,NOT_APPLICABLE,1,OPENALEX:W4205979214,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00029,OPENALEX:W4389510789,Selection of Optimal Mathematical Models for Simulating and Forecasting Vertical Movements,2023,OPENALEX,10.1007/978-3-031-43759-5_23,NOT_APPLICABLE,W4389510789,NOT_APPLICABLE,1,OPENALEX:W4389510789,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00030,OPENALEX:W4387789526,DIKO: A Two-Stage Hybrid Network for Knee Osteoarthritis Diagnosis Using Deep Learning,2023,OPENALEX,10.1007/978-3-031-46573-4_33,NOT_APPLICABLE,W4387789526,NOT_APPLICABLE,1,OPENALEX:W4387789526,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00031,OPENALEX:W4391176491,Investigating Air Pollution Dynamics in Ho Chi Minh City: A Spatiotemporal Study Leveraging XAI-SHAP Clustering Methodology,2024,OPENALEX,10.1007/978-3-031-50485-3_20,NOT_APPLICABLE,W4391176491,NOT_APPLICABLE,1,OPENALEX:W4391176491,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00032,OPENALEX:W4393337089,"Structural Health Monitoring, Real Applications of Bridges in Vietnam",2024,OPENALEX,10.1007/978-3-031-57224-1_26,NOT_APPLICABLE,W4393337089,NOT_APPLICABLE,1,OPENALEX:W4393337089,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00033,OPENALEX:W4411042308,Towards ADHD Identification in Children Through Eye Tracker Data Analysis,2025,OPENALEX,10.1007/978-3-031-90194-2_22,NOT_APPLICABLE,W4411042308,NOT_APPLICABLE,1,OPENALEX:W4411042308,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00034,OPENALEX:W7118365856,Enhancing Health Insurance for Farmers in Vietnam’s Mekong Delta: Influential Factors and Policy Directions,2026,OPENALEX,10.1007/978-3-032-03183-9_5,NOT_APPLICABLE,W7118365856,NOT_APPLICABLE,1,OPENALEX:W7118365856,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00035,OPENALEX:W7149578558,Towards Interpretable Martial Arts Training: A Lightweight Attention-Based Approach for Vovinam Action Recognition,2026,OPENALEX,10.1007/978-3-032-21625-0_38,NOT_APPLICABLE,W7149578558,NOT_APPLICABLE,1,OPENALEX:W7149578558,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00036,OPENALEX:W3214421139,Covid-19 Face Mask Prediction Using Machine Learning Techniques,2021,OPENALEX,10.1007/978-981-16-3690-5_69,NOT_APPLICABLE,W3214421139,NOT_APPLICABLE,1,OPENALEX:W3214421139,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00037,OPENALEX:W4226333433,"Technology Devices in Sport Education, Technology Applications with Wearable Sensor and Accelerometer in Physical Exercises—And Ho Chi Minh and Lenin Ideologies on Physical Exercise for the Youth",2022,OPENALEX,10.1007/978-981-16-9756-2_17,NOT_APPLICABLE,W4226333433,NOT_APPLICABLE,1,OPENALEX:W4226333433,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00038,OPENALEX:W4226367125,"Applications of Statistic Softwares, IT and Artificial Intelligence—A Research Case on ByPass Behavior of Patients at Vietnam Hospitals",2022,OPENALEX,10.1007/978-981-16-9756-2_18,NOT_APPLICABLE,W4226367125,NOT_APPLICABLE,1,OPENALEX:W4226367125,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00039,OPENALEX:W4312581401,Predictive Modelling of Diseases Based on a Network and Machine Learning Approach,2022,OPENALEX,10.1007/978-981-19-8234-7_50,NOT_APPLICABLE,W4312581401,NOT_APPLICABLE,1,OPENALEX:W4312581401,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00040,OPENALEX:W7164387246,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,2026,OPENALEX,10.1007/978-981-92-0071-9_22,NOT_APPLICABLE,W7164387246,NOT_APPLICABLE,1,OPENALEX:W7164387246,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00041,OPENALEX:W7164428448,Identifying Distress in Vietnamese Narratives: Dataset Construction and Model Benchmarking,2026,OPENALEX,10.1007/978-981-92-0071-9_36,NOT_APPLICABLE,W7164428448,NOT_APPLICABLE,1,OPENALEX:W7164428448,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00042,OPENALEX:W7168423530,Graph Retrieval-Augmented Language Model for Question Answering of Vietnamese Law,2026,OPENALEX,10.1007/978-981-92-2885-0_22,NOT_APPLICABLE,W7168423530,NOT_APPLICABLE,1,OPENALEX:W7168423530,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00043,OPENALEX:W7168293668,NEM: A Numerical Exact Match Subtype-Aware Metric Family for eXplainable Numerical Accuracy in Specialized Chatbots,2026,OPENALEX,10.1007/978-981-92-2891-1_5,NOT_APPLICABLE,W7168293668,NOT_APPLICABLE,1,OPENALEX:W7168293668,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00044,OPENALEX:W4416508169,Applying Ensemble Machine Learning Model to Explain the Causes of Stroke,2025,OPENALEX,10.1007/978-981-95-4963-4_14,NOT_APPLICABLE,W4416508169,NOT_APPLICABLE,1,OPENALEX:W4416508169,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00045,OPENALEX:W4416279159,Intelligent Post-operative Room Systems: A Cost-Effective Design for Enhanced Patient Care in Resource-Limited Settings,2025,OPENALEX,10.1007/978-981-96-6250-0_5,NOT_APPLICABLE,W4416279159,NOT_APPLICABLE,1,OPENALEX:W4416279159,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00046,OPENALEX:W4412923159,Social Pharmacy,2025,OPENALEX,10.1007/978-981-97-0821-5_121-1,NOT_APPLICABLE,W4412923159,NOT_APPLICABLE,1,OPENALEX:W4412923159,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00047,OPENALEX:W4404160554,A Comparative Analysis of Machine Learning Algorithms to Predict Dengue Shock Syndrome,2024,OPENALEX,10.1007/978-981-97-9793-6_19,NOT_APPLICABLE,W4404160554,NOT_APPLICABLE,1,OPENALEX:W4404160554,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00048,OPENALEX:W7117488622,Teaching the machine to heal in Vietnam,2025,OPENALEX,10.1007/s00146-025-02794-w,NOT_APPLICABLE,W7117488622,NOT_APPLICABLE,1,OPENALEX:W7117488622,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00049,PMID:42258012,Integrating google trends and hybrid statistical-machine learning models for dengue surveillance in an inland vietnamese province: a 94-month evaluation (2013-2021) with search-signal anomaly screening.,2026,OPENALEX | PUBMED,10.1007/s00484-026-03241-1,42258012,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W7163924730 | PMID:42258012,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00050,PMID:41134419,"Assessment of climate change impacts on arsenic contamination in groundwater through machine learning, remote sensing, and GIS: a review.",2025,OPENALEX | PUBMED,10.1007/s10653-025-02837-7,41134419,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W4415493928 | PMID:41134419,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00051,PMID:39714636,Mapping of high-resolution daily particulate matter (PM(2.5)) concentration at the city level through a machine learning-based downscaling approach.,2024,OPENALEX | PUBMED,10.1007/s10661-024-13562-6,39714636,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W4405692007 | PMID:39714636,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00052,PMID:41575711,Machine Learning-Assisted Autism Risk Stratification in Toddlers Using the Vietnamese M-CHAT-R and Perinatal Predictors: A Cross-Sectional Study in Vietnam.,2026,OPENALEX | PUBMED,10.1007/s10803-026-07227-1,41575711,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W7125482525 | PMID:41575711,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00053,OPENALEX:W4280604323,Predicting Hypertension Based on Machine Learning Methods: A Case Study in Northwest Vietnam,2022,OPENALEX,10.1007/s11036-022-01984-w,NOT_APPLICABLE,W4280604323,NOT_APPLICABLE,1,OPENALEX:W4280604323,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00054,OPENALEX:W4408332091,Assessing flood susceptibility in Hanoi using machine learning and remote sensing: implications for urban health and resilience,2025,OPENALEX,10.1007/s11069-025-07211-5,NOT_APPLICABLE,W4408332091,NOT_APPLICABLE,1,OPENALEX:W4408332091,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00055,PMID:31916153,Inland harmful cyanobacterial bloom prediction in the eutrophic Tri An Reservoir using satellite band ratio and machine learning approaches.,2020,PUBMED,10.1007/s11356-019-07519-3,31916153,NOT_APPLICABLE,NOT_APPLICABLE,1,PMID:31916153,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00056,OPENALEX:W4205227880,"Use of GIS and machine learning to predict disease in shrimp farmed on the east coast of the Mekong Delta, Vietnam",2022,OPENALEX,10.1007/s12562-021-01577-8,NOT_APPLICABLE,W4205227880,NOT_APPLICABLE,1,OPENALEX:W4205227880,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00057,OPENALEX:W4416105290,"AI-Driven Climate-Health Forecasting: A Machine Learning Model for Epidemic Risk Prediction in Ba Ria-Vung Tau, Vietnam",2025,OPENALEX,10.1007/s41748-025-00906-6,NOT_APPLICABLE,W4416105290,NOT_APPLICABLE,1,OPENALEX:W4416105290,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00058,OPENALEX:W7161937371,"Machine Learning-Based Geospatial Modeling of Typhoon-Induced Urban Flood Susceptibility Using Gradient Boosting Machine, Deep Neural Network, and SHAP Interpretability",2026,OPENALEX,10.1007/s41976-026-00291-2,NOT_APPLICABLE,W7161937371,NOT_APPLICABLE,1,OPENALEX:W7161937371,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00059,OPENALEX:W7166089943,Ethics meets innovation: Navigating public health and sustainable agriculture in the battle against AMR,2026,OPENALEX,10.1016/b978-0-443-27781-8.00021-x,NOT_APPLICABLE,W7166089943,NOT_APPLICABLE,1,OPENALEX:W7166089943,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00060,OPENALEX:W4404613884,Identification of the risk of osteoporosis in older Vietnamese women using artificial intelligence and machine learning,2024,OPENALEX,10.1016/b978-0-443-32892-3.00005-1,NOT_APPLICABLE,W4404613884,NOT_APPLICABLE,1,OPENALEX:W4404613884,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00061,PMID:41232742,"Harnessing artificial intelligence for dengue forecasting in climate-vulnerable regions: A narrative review with insights from Ba Ria-Vung Tau, Vietnam.",2025,OPENALEX | PUBMED,10.1016/j.actatropica.2025.107909,41232742,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W4416146169 | PMID:41232742,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00062,PMID:42497621,"AI awareness, AI fear of missing out, and work demotivation as pathways to occupational strain in Vietnamese hospitality employees.",2026,PUBMED,10.1016/j.actpsy.2026.107517,42497621,NOT_APPLICABLE,NOT_APPLICABLE,1,PMID:42497621,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00063,PMID:41969604,Artificial intelligence-assisted screening reveals high prevalence of osteoporosis in Vietnamese adults using pelvic and hip radiographs.,2026,OPENALEX | PUBMED,10.1016/j.afos.2026.01.002,41969604,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W7128002164 | PMID:41969604,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00064,OPENALEX:W7167820862,An integrated deep learning and large language model for automated knee osteoarthritis grading and reporting from the Vietnam Osteoporosis Study,2026,OPENALEX,10.1016/j.afos.2026.05.003,NOT_APPLICABLE,W7167820862,NOT_APPLICABLE,1,OPENALEX:W7167820862,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00065,OPENALEX:W4319994231,New year greetings from the Editor-in-Chief of the Asia–Pacific Journal of Oncology Nursing,2023,OPENALEX,10.1016/j.apjon.2023.100185,36814522,W4319994231,NOT_APPLICABLE,1,OPENALEX:W4319994231,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00066,OPENALEX:W3094688352,Pushing Back Against Ageism,2020,OPENALEX,10.1016/j.carage.2020.10.023,NOT_APPLICABLE,W3094688352,NOT_APPLICABLE,1,OPENALEX:W3094688352,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00067,PMID:38817706,Feasibility of Using an Artificial Intelligence-based Telephone Application for Dietary Assessment and Nudging to Improve the Quality of Food Choices of Female Adolescents in Vietnam: Evidence from a Randomized Pilot Study.,2024,PUBMED,10.1016/j.cdnut.2023.102063,38817706,NOT_APPLICABLE,NOT_APPLICABLE,1,PMID:38817706,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00068,OPENALEX:W4413123648,Moderating the AI Revolution: Perceived threat and generative AI implementation in Vietnamese hospitals,2025,OPENALEX,10.1016/j.chbr.2025.100774,NOT_APPLICABLE,W4413123648,NOT_APPLICABLE,1,OPENALEX:W4413123648,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00069,PMID:34118630,Performance evaluation of nanotubular halloysites from weathered pegmatites in removing heavy metals from water through novel artificial intelligence-based models and human-based optimization algorithm.,2021,OPENALEX | PUBMED,10.1016/j.chemosphere.2021.131012,34118630,NOT_APPLICABLE,NOT_APPLICABLE,2,OPENALEX:W3169122073 | PMID:34118630,DUPLICATE_ALIAS,DOI | PMID,Highest metadata completeness.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
CANON-00070,PMID:39154769,Accurate PM(2.5) urban air pollution forecasting using multivariate ensemble learning Accounting for evolving target distributions.,2024,PUBMED,10.1016/j.chemosphere.2024.143097,39154769,NOT_APPLICABLE,NOT_APPLICABLE,1,PMID:39154769,UNIQUE,NOT_APPLICABLE,Single unique manifestation.,PENDING_SCREENING,VERIFIED_RAW_MANIFEST
