slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired valid AI/health document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,180194EC1A90EF6D262B63012E1FA0C005DECCBD94F51AE91378C987D0DCAD45,YES
MINISTRY-02,MINISTRY,RETRIEVED,Acquired valid AI/health document artifact from https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,A956652F1F2D3E8B30C863485D23D655C60AFFEF87146DCE44F9773D18722D0E,YES
MINISTRY-03,MINISTRY,RETRIEVED,Acquired valid AI/health document artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,807F55267C188AF09DE30ADBCD2D3A832F225C9D711F6A4BC8BD0C9012541FEC,YES
MINISTRY-04,MINISTRY,OUT_OF_SCOPE,"Acquired document 'Đánh giá tác động Luật Công tác xã hội' is out of scope (Social Work Law impact assessment, not AI/health ethics or governance).",https://btxh.moh.gov.vn/danh-muc-tin/cong-tac-xa-hoi/danh-gia-tac-dong-luat-cong-tac-xa-hoi_t209c40n1439,468A6EC7075F853BE14E144CD28E91D8D1E5985219A8966F48DA7561B1127EA8,YES
INTL-01,INTL,UNRETRIEVABLE,No distinct 2nd document available under domain www.who.int/vietnam for query DQ-IMPL-03,NONE,NONE,YES
INTL-02,INTL,UNRETRIEVABLE,Direct HTTP locators to UNESCO return SSL/connection refusal after 3 retries,NONE,NONE,YES
INTL-03,INTL,OUT_OF_SCOPE,"Acquired page 'Giới thiệu về WHO tại Việt Nam' is an organizational landing page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All direct locators return HTTP 403 / WAF bot blocking on soyte.hanoi.gov.vn after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,EC0A6BFD23A0641B612FDD9E57EE1ED30F79ED83B6D9FF86B67A765A8F5817FA,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,0699D49A3D9C1CA194100EA45C6B501AFA84EFD3D46B845BBDAE1A023AF775FD,YES
SENTINEL-04,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,10AA7042A3E56304D2C3A50F098329137AA788692671B121516C337AA1BE8E9F,YES
SENTINEL-05,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,YES
